ano_mes_ordinal;valor_receita;SMA(12);SMA(6);SMA(3);SMA(2);lag(12);lag(6);lag(4);lag(3);lag(2);lag(1);populacao;variacao_anual;aceleracao_variacao_anual;valor_pib
737029;15957390.77;10865042.935;12824291.233333334;15061954.046666667;15957390.77;9870316.65;7082889.36;9244402.33;13271080.6;13271080.6;15957390.77;61776;-411;-782;1064231.52
737060;9811318.17;10758530.933333334;12918777.206666669;13908699.90333333;12884354.47;11089462.19;9244402.33;13271080.6;13271080.6;15957390.77;15957390.77;61993;217;628;1128058.01
737091;10801813.03;10734560.17;13178345.656666666;12190173.99;10306565.600000001;11089462.19;9244402.33;13271080.6;15957390.77;15957390.77;9811318.17;61993;217;628;1128058.01
737119;11082094.49;10945982.014166666;12813514.638333334;10565075.229999999;10941953.760000002;8545032.36;13271080.6;15957390.77;15957390.77;9811318.17;10801813.03;61993;217;628;1128058.01
737150;10090587.95;11074778.313333333;12283432.530000001;10658165.156666666;10586341.22;8545032.36;13271080.6;15957390.77;9811318.17;10801813.03;11082094.49;61993;217;628;1128058.01
737180;10167877.09;11331860.624166666;11318513.583333334;10446853.176666666;10129232.52;7082889.36;15957390.77;9811318.17;10801813.03;11082094.49;10090587.95;61993;217;628;1128058.01
737211;8961726.59;11488430.393333333;10152569.553333333;9740063.876666667;9564801.84;7082889.36;15957390.77;10801813.03;11082094.49;10090587.95;10167877.09;61993;217;628;1128058.01
737241;13808992.78;11868812.930833332;10818848.655;10979532.153333334;11385359.685;9244402.33;9811318.17;11082094.49;10090587.95;10167877.09;8961726.59;61993;217;628;1128058.01
737272;10509801.49;11974262.860833332;10770180.065;11093506.953333333;12159397.135000002;9244402.33;10801813.03;10090587.95;10167877.09;8961726.59;13808992.78;61993;217;628;1128058.01
737303;9088563.35;11625719.756666668;10437924.875;11135785.873333333;9799182.420000002;13271080.6;11082094.49;10167877.09;8961726.59;13808992.78;10509801.49;61993;217;628;1128058.01
737333;10041617.66;11356597.844999999;10429763.16;9879994.166666666;9565090.505;13271080.6;10090587.95;8961726.59;13808992.78;10509801.49;9088563.35;61993;217;628;1128058.01
737364;11784613.93;11008866.441666666;10699219.299999999;10304931.646666666;10913115.795000002;15957390.77;10167877.09;13808992.78;10509801.49;9088563.35;10041617.66;61993;217;628;1128058.01
737394;20542709.58;11390976.342500001;12629383.131666666;14122980.389999999;16163661.755;15957390.77;8961726.59;10509801.49;9088563.35;10041617.66;11784613.93;61993;217;628;1128058.01
737425;13953393.27;11736149.2675;12653449.88;15426905.593333334;17248051.425;9811318.17;13808992.78;9088563.35;10041617.66;11784613.93;20542709.58;62289;296;79;1134471000.0
737425;13953393.27;11998780.954166666;13227381.843333334;16149832.04;13953393.27;10801813.03;10509801.49;10041617.66;11784613.93;20542709.58;13953393.27;62289;296;79;1134470.6
737456;10349347.03;11937718.665833334;13437512.456666665;12752044.523333333;12151370.150000002;11082094.49;9088563.35;11784613.93;20542709.58;13953393.27;13953393.27;62289;296;79;1134471000.0
737456;10349347.03;11959281.9225;13488800.684999997;11550695.776666665;10349347.03;10090587.95;10041617.66;20542709.58;13953393.27;13953393.27;10349347.03;62289;296;79;1134470.6
737485;10706530.74;12004169.726666667;13309120.153333334;10468408.266666666;10527938.885000002;10167877.09;11784613.93;13953393.27;13953393.27;10349347.03;10349347.03;62289;296;79;1134471000.0
737485;10706530.74;12149570.0725;11669757.013333334;10587469.503333332;10706530.74;8961726.59;20542709.58;13953393.27;10349347.03;10349347.03;10706530.74;62289;296;79;1134470.6
737516;9904865.5;11824226.132499998;10995002.385;10439308.993333334;10305698.120000001;13808992.78;13953393.27;10349347.03;10349347.03;10706530.74;10706530.74;62289;296;79;1134471000.0
737516;9904865.5;11773814.799999999;10320247.756666666;10172087.246666668;9904865.5;10509801.49;13953393.27;10349347.03;10706530.74;10706530.74;9904865.5;62289;296;79;1134470.6
737546;9991873.45;11849090.641666666;10260668.826666666;9933868.15;9948369.475000001;9088563.35;10349347.03;10706530.74;10706530.74;9904865.5;9904865.5;62289;296;79;1134471000.0
737546;9991873.45;11844945.290833334;10201089.896666666;9962870.799999999;9991873.45;10041617.66;10349347.03;10706530.74;9904865.5;9904865.5;9991873.45;62289;296;79;1134470.6
737577;11916230.82;11855913.365;10402706.576666666;10633325.906666666;10954052.135000002;11784613.93;10706530.74;9904865.5;9904865.5;9991873.45;9991873.45;62289;296;79;1134471000.0
737577;11916230.82;11137040.135;10604323.256666666;11274778.363333335;11916230.82;20542709.58;10706530.74;9904865.5;9991873.45;9991873.45;11916230.82;62289;296;79;1134470.6
737607;18048757.43;11478320.481666667;11961638.578333333;13960406.356666667;14982494.125000002;13953393.27;9904865.5;9991873.45;9991873.45;11916230.82;11916230.82;62289;296;79;1134471000.0
737607;18048757.43;11819600.828333333;13318953.9;16004581.893333333;18048757.43;13953393.27;9904865.5;9991873.45;11916230.82;11916230.82;18048757.43;62289;296;79;1134470.6
737638;13509334.66;12082933.130833333;13905197.435;16535616.506666666;15779046.045000002;10349347.03;9991873.45;11916230.82;11916230.82;18048757.43;18048757.43;62289;296;79;1134471000.0
737638;13509334.66;12346265.433333332;14491440.969999999;15022475.583333334;13509334.66;10349347.03;9991873.45;11916230.82;18048757.43;18048757.43;13509334.66;62289;296;79;1134470.6
